ticker,expiry,type,strike,qty
AMD,2026-10-16,call,600,-25
AMZN,2026-10-16,put,250,-20
ASML,2026-10-16,call,2000,-7
AVGO,2026-10-16,call,430,-50
AVGO,2026-10-16,call,450,-20
AVGO,2026-11-20,call,390,-50
BA,2026-10-16,call,250,-25
BRK.B,2026-10-16,call,530,-50
CSCO,2026-10-16,call,135,-20
GOOGL,2026-10-16,call,380,-30
GS,2026-10-16,call,1200,-30
IBM,2026-10-16,call,260,-50
LLY,2026-10-16,call,1280,-20
MU,2026-09-18,call,1100,-50
MU,2026-10-16,call,1000,-20
MU,2026-10-16,call,1100,-60
MU,2026-10-16,call,950,-70
MU,2026-11-20,call,1050,-35
NVDA,2026-10-16,put,190,-15
PFE,2026-10-16,call,26,-400
SPCX,2026-10-16,call,150,-20
UNH,2026-10-16,put,350,-20
